7.291271	11.956696	[Busy café sounds]
20.081963	22.129797	[Laughter]
63.391957	65.192069	[Chuckling]
67.999578	68.230787	[Utensil hits table]
80.327857	80.559066	[Laughter]
82.895904	84.357464	[Whispering]
84.638213	85.670388	[Tape whirring]
125.462733	126.189385	[Plate clinks]
187.839033	188.697804	[Laughter]
255.417487	255.665211	[Utencil clinks]
287.951591	288.94248	[Laughter]
302.748828	303.12867	[Plate clacks on table]
307.141758	308.793237	[Tape whirring]
365.653601	376.503809	[Spoon rattling in mug]
412.208748	412.9354	[Laughter]
481.488223	483.519543	[Whispering]